UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7546,L54725,L,300.2,311.4,1891,47.6,88,0,0,0,0,0,0
4103,L51282,L,302.0,310.4,1450,61.6,169,0,0,0,0,0,0
424,L47603,L,297.3,308.3,1484,58.9,17,0,0,0,0,0,0
1497,L48676,L,298.0,308.7,1268,84.4,193,1,0,0,1,1,0
5516,H34929,H,302.7,312.0,1484,66.5,67,0,0,0,0,0,0
7108,H36521,H,295.9,303.5,1512,56.2,53,0,0,0,0,0,0
9425,M24284,M,298.0,308.5,1585,48.0,28,0,0,0,0,0,0
9620,M24479,M,298.9,310.0,1323,67.9,110,0,0,0,0,0,0
340,M15199,M,297.5,308.2,1713,47.2,21,0,0,0,0,0,0
1671,L48850,L,293.2,300.8,1528,46.1,198,0,0,0,0,0,0
4416,L51595,L,302.6,310.4,1514,57.7,79,0,0,0,0,0,0
9442,L56621,L,298.1,308.8,1432,58.4,72,0,0,0,0,0,0
3184,L50363,L,300.1,309.3,1616,57.0,201,0,0,0,0,0,0
2871,M17730,M,300.8,309.7,1519,54.7,20,0,0,0,0,0,0
7709,L54888,L,300.5,311.4,1709,47.3,68,0,0,0,0,0,0
8503,H37916,H,298.6,309.8,1279,70.9,156,0,0,0,0,0,0
8801,L55980,L,297.4,308.5,1475,77.2,77,0,0,0,0,0,0
7246,L54425,L,300.0,310.1,1477,49.6,199,0,0,0,0,0,0
7445,L54624,L,300.2,311.7,1286,80.1,44,0,0,0,0,0,0
2974,M17833,M,300.6,309.3,1510,61.0,91,0,0,0,0,0,0
9591,M24450,M,299.2,310.4,1325,67.0,38,0,0,0,0,0,0
7142,M22001,M,300.4,309.8,1356,59.4,140,0,0,0,0,0,0
7683,M22542,M,300.7,311.7,1412,79.1,227,0,0,0,0,0,0
8563,L55742,L,293.1,301.9,1351,67.4,106,0,0,0,0,0,0
1495,M16354,M,298.0,308.7,1377,63.5,185,0,0,0,0,0,0
7701,M22560,M,300.7,311.6,1348,77.5,40,0,0,0,0,0,0
5701,L52880,L,302.5,311.9,1497,56.6,127,0,0,0,0,0,0
6691,L53870,L,301.7,311.0,1343,64.2,29,0,0,0,0,0,0
5461,M20320,M,303.0,312.4,1526,51.1,146,0,0,0,0,0,0
5261,M20120,M,303.5,313.0,1492,61.1,93,0,0,0,0,0,0
6414,L53593,L,300.4,310.1,1614,63.5,199,0,0,0,0,0,0
1714,L48893,L,298.2,307.8,1515,61.7,78,0,0,0,0,0,0
2635,L49814,L,300.0,309.7,1554,47.0,121,0,0,0,0,0,0
5404,L52583,L,302.7,312.3,1858,40.4,6,0,0,0,0,0,0
6745,M21604,M,301.7,311.0,1298,73.1,172,0,0,0,0,0,0
4578,L51757,L,298.0,304.2,1800,38.7,65,0,0,0,0,0,0
8118,L55297,L,300.3,311.7,1406,62.5,18,0,0,0,0,0,0
4723,M19582,M,303.4,311.8,1391,57.7,201,0,0,0,0,0,0
1763,H31176,H,298.2,307.6,1460,78.6,212,0,0,0,0,0,0
6562,L53741,L,301.5,310.7,1596,50.4,154,0,0,0,0,0,0
9013,L56192,L,297.2,308.0,1705,41.0,204,0,0,0,0,0,0
602,L47781,L,297.9,309.7,2194,31.8,31,0,0,0,0,0,0
7452,L54631,L,300.3,311.8,1508,58.1,61,0,0,0,0,0,0
1443,M16302,M,298.8,310.0,1486,53.5,59,0,0,0,0,0,0
5154,L52333,L,304.2,313.4,1644,46.7,27,0,0,0,0,0,0
4136,M18995,M,301.7,310.3,1787,41.7,37,0,0,0,0,0,0
5297,H34710,H,303.8,313.2,1379,65.2,182,0,0,0,0,0,0
1900,L49079,L,297.8,307.5,1388,55.0,163,0,0,0,0,0,0
6623,L53802,L,301.7,310.7,1493,66.1,91,0,0,0,0,0,0
8432,H37845,H,298.9,310.1,1324,69.6,189,0,0,0,0,0,0
19,H29432,H,298.8,309.2,1306,69.5,54,0,0,0,0,0,0
5532,M20391,M,302.3,311.7,1504,67.3,115,0,0,0,0,0,0
8890,M23749,M,297.7,308.8,2089,34.1,115,0,0,0,0,0,0
7570,L54749,L,300.2,311.0,1255,86.8,153,1,0,0,1,0,0
6771,M21630,M,301.3,310.8,1509,55.1,29,0,0,0,0,0,0
889,M15748,M,295.6,306.1,1651,43.1,114,0,0,0,0,0,0
3074,L50253,L,300.1,309.1,1478,61.9,120,0,0,0,0,0,0
8495,L55674,L,298.3,309.5,1542,51.7,138,0,0,0,0,0,0
5928,L53107,L,300.2,310.1,1649,45.5,47,0,0,0,0,0,0
7848,L55027,L,300.2,311.6,1322,80.9,223,0,0,0,0,0,0
8168,H37581,H,299.7,311.1,1353,62.1,147,0,0,0,0,0,0
6106,M20965,M,300.8,310.9,1522,76.2,64,0,0,0,0,0,0
7243,H36656,H,299.9,310.1,1447,66.4,189,0,0,0,0,0,0
846,L48025,L,296.3,307.3,1439,56.5,212,0,0,0,0,0,0
4978,L52157,L,303.7,312.7,1540,69.8,198,0,0,0,0,0,0
4376,L51555,L,302.0,309.7,1414,51.3,213,0,0,0,0,0,0
8999,L56178,L,297.1,308.0,1467,57.8,173,0,0,0,0,0,0
2147,L49326,L,299.3,308.8,1647,47.9,176,0,0,0,0,0,0
4720,M19579,M,303.4,311.7,1690,49.9,193,0,0,0,0,0,0
7179,L54358,L,300.2,310.2,1600,46.5,27,0,0,0,0,0,0
1882,L49061,L,293.0,300.6,1548,60.8,115,0,0,0,0,0,0
7942,M22801,M,300.7,311.7,1499,53.9,7,0,0,0,0,0,0
1990,L49169,L,298.2,307.9,1785,38.4,185,0,0,0,0,0,0
473,M15332,M,297.4,309.0,1497,56.8,148,0,0,0,0,0,0
6476,L53655,L,300.5,309.7,1560,60.2,147,0,0,0,0,0,0
9976,M24835,M,298.6,308.3,1589,49.1,178,0,0,0,0,0,0
3921,L51100,L,302.6,311.5,1885,42.5,151,0,0,0,0,0,0
2624,M17483,M,294.6,302.4,1283,77.1,87,0,0,0,0,0,0
2595,L49774,L,298.8,308.5,1446,52.0,15,0,0,0,0,0,0
5092,L52271,L,303.9,313.2,1345,63.2,81,0,0,0,0,0,0
9025,L56204,L,297.4,308.3,1366,60.5,15,0,0,0,0,0,0
225,L47404,L,298.3,308.6,1584,44.3,166,0,0,0,0,0,0
9049,M23908,M,297.3,308.4,1370,65.5,75,0,0,0,0,0,0
6685,L53864,L,301.6,310.9,1538,55.4,17,0,0,0,0,0,0
1528,H30941,H,298.1,309.1,1425,59.5,53,0,0,0,0,0,0
3742,L50921,L,302.4,311.3,1503,63.2,122,0,0,0,0,0,0
1859,M16718,M,297.8,307.4,1488,51.1,61,0,0,0,0,0,0
7561,M22420,M,300.3,311.3,1377,68.8,129,0,0,0,0,0,0
1925,L49104,L,297.9,307.7,1353,65.7,17,0,0,0,0,0,0
7841,L55020,L,300.2,311.6,1606,61.0,207,0,0,0,0,0,0
2523,M17382,M,298.8,308.7,1543,53.2,48,0,0,0,0,0,0
8166,L55345,L,299.6,311.0,1552,48.2,143,0,0,0,0,0,0
1573,L48752,L,293.2,301.3,1230,74.6,166,0,0,0,0,0,0
4782,L51961,L,303.7,312.3,1384,60.9,125,0,0,0,0,0,0
8338,M23197,M,298.8,309.7,1589,50.3,153,0,0,0,0,0,0
9623,L56802,L,293.9,303.0,1794,42.2,118,0,0,0,0,0,0
4480,L51659,L,302.6,310.2,1923,36.5,22,0,0,0,0,0,0
6808,L53987,L,301.0,310.8,1549,56.4,125,0,0,0,0,0,0
7906,M22765,M,300.8,312.4,1465,58.7,143,0,0,0,0,0,0
7737,H37150,H,300.6,312.1,1354,61.9,142,0,0,0,0,0,0
3994,L51173,L,302.3,311.3,1324,62.8,135,0,0,0,0,0,0
7484,L54663,L,300.2,311.6,1671,43.8,153,0,0,0,0,0,0
9032,H38445,H,297.5,308.4,1793,38.9,32,0,0,0,0,0,0
2370,M17229,M,299.2,308.4,1856,37.7,90,0,0,0,0,0,0
6285,M21144,M,301.2,310.8,1734,46.3,68,0,0,0,0,0,0
3123,L50302,L,300.0,309.3,1473,61.0,39,0,0,0,0,0,0
9821,M24680,M,298.6,309.5,1568,51.7,186,0,0,0,0,0,0
8328,M23187,M,298.7,309.6,1254,72.1,128,0,0,0,0,0,0
2237,M17096,M,299.3,308.5,1422,58.1,190,0,0,0,0,0,0
1144,L48323,L,297.0,307.9,1479,54.2,155,0,0,0,0,0,0
3652,L50831,L,302.1,311.5,1444,69.9,99,0,0,0,0,0,0
6799,L53978,L,301.2,310.7,1676,47.4,102,0,0,0,0,0,0
5569,L52748,L,302.5,312.1,1534,53.6,7,0,0,0,0,0,0
8319,H37732,H,298.7,309.7,1565,54.3,98,0,0,0,0,0,0
4378,M19237,M,301.8,309.6,1436,64.0,218,0,0,0,0,0,0
43,M14902,M,298.8,309.1,1368,64.1,121,0,0,0,0,0,0
4635,L51814,L,303.0,311.2,1755,45.4,209,0,0,0,0,0,0
4892,M19751,M,303.7,312.3,1756,41.4,194,0,0,0,0,0,0
9617,L56796,L,298.9,310.1,1580,52.3,104,0,0,0,0,0,0
9502,L56681,L,299.3,310.3,1396,62.4,18,0,0,0,0,0,0
1004,L48183,L,296.2,307.1,1444,76.7,202,0,0,0,0,0,0
8023,L55202,L,300.9,312.0,1441,58.8,214,0,0,0,0,0,0
2435,M17294,M,299.0,308.2,1358,57.7,54,0,0,0,0,0,0
7317,L54496,L,299.9,310.4,1497,62.0,154,0,0,0,0,0,0
8825,M23684,M,297.3,308.9,1799,39.5,141,0,0,0,0,0,0
7936,M22795,M,300.8,311.9,1356,59.3,218,0,0,0,0,0,0
5655,L52834,L,302.3,311.6,1544,49.3,4,0,0,0,0,0,0
5447,L52626,L,303.1,312.9,1511,55.1,111,0,0,0,0,0,0
9043,M23902,M,297.3,308.4,1599,47.9,62,0,0,0,0,0,0
8904,M23763,M,297.4,308.7,1382,64.9,155,0,0,0,0,0,0
6181,L53360,L,301.0,310.9,1492,59.6,19,0,0,0,0,0,0
7461,L54640,L,300.0,311.5,1445,56.6,85,0,0,0,0,0,0
5273,M20132,M,303.6,313.0,1396,53.2,121,0,0,0,0,0,0
3091,H32504,H,300.1,309.3,1448,60.8,167,0,0,0,0,0,0
6839,L54018,L,296.1,304.1,1570,56.6,206,0,0,0,0,0,0
3913,L51092,L,302.4,311.4,1475,55.4,130,0,0,0,0,0,0
9369,L56548,L,297.7,308.4,1510,53.6,76,0,0,0,0,0,0
6275,M21134,M,301.2,310.7,1543,47.9,44,0,0,0,0,0,0
3827,H33240,H,302.3,310.8,1438,58.8,123,0,0,0,0,0,0
6731,M21590,M,301.6,311.0,1431,57.3,133,0,0,0,0,0,0
716,L47895,L,297.4,308.6,1324,74.1,122,0,0,0,0,0,0
5214,M20073,M,303.7,312.6,1429,58.3,193,0,0,0,0,0,0
290,L47469,L,298.1,308.4,1436,71.7,105,0,0,0,0,0,0
1099,M15958,M,291.9,300.4,1521,52.9,31,0,0,0,0,0,0
6247,H35660,H,300.8,310.3,1457,61.8,186,0,0,0,0,0,0
6326,L53505,L,300.7,310.1,1721,47.3,174,0,0,0,0,0,0
3531,M18390,M,301.9,310.9,1441,73.7,8,0,0,0,0,0,0
5934,L53113,L,300.5,310.5,1373,77.4,64,0,0,0,0,0,0
2493,H31906,H,299.0,308.8,1382,73.5,203,0,0,0,0,0,0
8116,L55295,L,300.4,311.8,1367,72.2,14,0,0,0,0,0,0
607,L47786,L,297.9,309.8,1461,65.5,42,0,0,0,0,0,0
1718,L48897,L,298.2,307.6,1369,79.5,84,0,0,0,0,0,0
8230,L55409,L,299.1,310.5,1739,42.4,76,0,0,0,0,0,0
9670,L56849,L,299.1,310.3,1619,46.1,246,0,0,0,0,0,0
5440,L52619,L,303.0,312.5,1626,45.5,91,0,0,0,0,0,0
1645,L48824,L,298.0,307.8,1622,48.3,125,0,0,0,0,0,0
7214,M22073,M,299.8,309.8,1427,60.2,110,0,0,0,0,0,0
1634,L48813,L,297.9,307.9,1476,60.2,95,0,0,0,0,0,0
8618,L55797,L,297.6,308.6,1529,60.3,19,0,0,0,0,0,0
7487,L54666,L,300.3,311.7,1635,46.8,160,0,0,0,0,0,0
252,M15111,M,298.0,308.2,1466,57.6,6,0,0,0,0,0,0
2362,M17221,M,299.2,308.6,1631,50.4,68,0,0,0,0,0,0
6718,M21577,M,301.4,310.6,1464,63.6,100,0,0,0,0,0,0
3293,L50472,L,301.3,310.3,1400,74.3,55,0,0,0,0,0,0
2530,M17389,M,298.8,308.6,1571,48.7,65,0,0,0,0,0,0
1226,H30639,H,297.1,308.3,1492,56.5,145,0,0,0,0,0,0
7693,H37106,H,300.5,311.6,1506,51.2,14,0,0,0,0,0,0
3360,L50539,L,301.5,310.6,1525,66.9,206,0,0,0,0,0,0
5547,L52726,L,302.3,311.7,1453,56.2,151,0,0,0,0,0,0
1077,L48256,L,296.9,307.7,1653,65.9,185,0,0,0,0,0,0
5873,M20732,M,296.5,304.0,1504,57.6,113,0,0,0,0,0,0
6513,M21372,M,301.1,310.0,1433,63.1,18,0,0,0,0,0,0
4370,H33783,H,302.0,309.9,1735,57.2,200,0,0,0,0,0,0
1316,L48495,L,299.0,310.3,1520,60.0,175,0,0,0,0,0,0
5384,L52563,L,302.8,312.3,1504,55.3,208,0,0,0,0,0,0
5906,H35319,H,295.8,303.5,1582,46.1,197,0,0,0,0,0,0
8743,L55922,L,297.4,308.8,1467,54.0,132,0,0,0,0,0,0
6227,H35640,H,301.3,311.0,1341,74.3,138,0,0,0,0,0,0
5189,L52368,L,304.0,313.2,1632,45.6,125,0,0,0,0,0,0
3706,M18565,M,302.0,311.3,1725,57.7,31,0,0,0,0,0,0
7995,L55174,L,301.0,312.3,1424,58.5,140,0,0,0,0,0,0
8865,M23724,M,298.0,309.1,1574,49.8,44,0,0,0,0,0,0
589,L47768,L,297.6,309.4,1628,48.4,233,0,0,0,0,0,0
610,L47789,L,298.1,309.9,1629,62.5,53,0,0,0,0,0,0
1122,L48301,L,296.6,307.6,1459,55.2,100,0,0,0,0,0,0
3847,L51026,L,302.3,310.9,1403,62.2,177,0,0,0,0,0,0
8197,L55376,L,299.4,310.8,1622,63.6,225,0,0,0,0,0,0
2236,M17095,M,294.4,301.6,1455,57.7,187,0,0,0,0,0,0
4709,L51888,L,303.4,311.7,1793,40.8,165,0,0,0,0,0,0
8717,M23576,M,297.1,308.6,1717,56.3,63,0,0,0,0,0,0
1481,M16340,M,298.2,309.3,2056,33.7,148,0,0,0,0,0,0
7111,M21970,M,300.8,310.4,1518,51.0,63,0,0,0,0,0,0
5523,L52702,L,302.6,311.9,1453,64.1,86,0,0,0,0,0,0
3872,M18731,M,302.7,311.8,1728,60.0,20,0,0,0,0,0,0
1223,L48402,L,292.0,301.3,1399,74.0,139,0,0,0,0,0,0
1647,M16506,M,297.9,307.7,1527,57.8,129,0,0,0,0,0,0
7270,M22129,M,300.4,310.5,1540,48.4,36,0,0,0,0,0,0
2726,L49905,L,299.8,309.4,1555,49.8,126,0,0,0,0,0,0
9949,L57128,L,293.2,300.8,1804,40.1,112,0,0,0,0,0,0
4907,H34320,H,303.6,312.4,1436,60.6,13,0,0,0,0,0,0
475,L47654,L,297.4,309.1,1478,64.8,154,0,0,0,0,0,0
754,L47933,L,296.8,308.0,1536,55.4,221,0,0,0,0,0,0
5315,L52494,L,303.6,312.8,1701,45.8,16,0,0,0,0,0,0
920,L48099,L,295.4,305.8,1407,65.7,196,0,0,0,0,0,0
4807,H34220,H,303.6,312.5,1375,69.0,190,0,0,0,0,0,0
5874,M20733,M,301.5,311.1,1396,58.5,116,0,0,0,0,0,0
6142,L53321,L,300.8,310.8,1486,60.7,150,0,0,0,0,0,0
7057,M21916,M,300.8,310.5,1409,65.6,145,0,0,0,0,0,0
2386,L49565,L,299.1,308.3,1524,49.1,132,0,0,0,0,0,0
4001,L51180,L,302.1,311.2,1422,65.3,150,0,0,0,0,0,0
713,L47892,L,297.5,308.7,1453,62.6,114,0,0,0,0,0,0
6752,M21611,M,301.7,311.0,1505,52.1,194,0,0,0,0,0,0
3786,L50965,L,302.3,310.9,1545,61.7,20,0,0,0,0,0,0
8914,M23773,M,292.2,301.5,1487,61.9,177,0,0,0,0,0,0
2951,M17810,M,300.7,309.5,1445,61.4,28,0,0,0,0,0,0
2786,L49965,L,300.2,309.5,1495,47.6,53,0,0,0,0,0,0
2869,L50048,L,300.8,309.7,1418,61.6,16,0,0,0,0,0,0
1294,H30707,H,298.7,309.8,1582,48.4,125,0,0,0,0,0,0
9986,H39399,H,298.7,308.5,1572,50.6,206,0,0,0,0,0,0
4256,M19115,M,302.5,311.0,1387,77.1,118,0,0,0,0,0,0
350,L47529,L,297.6,308.3,1595,64.3,49,0,0,0,0,0,0
7183,L54362,L,295.3,303.3,2158,31.8,36,0,0,0,0,0,0
3946,L51125,L,302.2,311.3,1570,51.1,4,0,0,0,0,0,0
8154,L55333,L,299.6,310.8,1507,57.4,112,0,0,0,0,0,0
9555,M24414,M,299.3,310.7,1440,60.5,150,0,0,0,0,0,0
2345,M17204,M,299.2,308.3,1755,41.4,23,0,0,0,0,0,0
3805,L50984,L,302.3,310.9,1529,48.4,66,0,0,0,0,0,0
7556,L54735,L,300.3,311.3,1332,75.5,116,0,0,0,0,0,0
4656,L51835,L,303.1,311.1,1854,52.6,27,0,0,0,0,0,0
4162,H33575,H,301.9,310.3,1653,47.4,104,0,0,0,0,0,0
7530,L54709,L,300.1,311.4,1467,50.7,49,0,0,0,0,0,0
4184,L51363,L,302.3,310.7,1402,65.9,161,0,0,0,0,0,0
5846,M20705,M,301.4,311.2,1727,56.5,51,0,0,0,0,0,0
154,L47333,L,298.4,308.2,1850,42.0,198,0,0,0,0,0,0
7623,M22482,M,300.6,311.6,1473,46.5,73,0,0,0,0,0,0
4713,L51892,L,303.4,311.8,1564,50.9,175,0,0,0,0,0,0
2838,L50017,L,295.3,302.1,1699,45.3,182,0,0,0,0,0,0
8956,M23815,M,297.4,308.0,1355,70.1,67,0,0,0,0,0,0
2589,L49768,L,299.0,308.7,1706,43.6,210,0,0,0,0,0,0
1211,L48390,L,297.0,308.1,1537,54.0,107,0,0,0,0,0,0
7238,M22097,M,299.8,310.0,1632,48.7,176,0,0,0,0,0,0
5662,L52841,L,302.2,311.4,1397,68.0,21,0,0,0,0,0,0
9627,M24486,M,299.0,310.0,1341,73.9,130,0,0,0,0,0,0
4902,M19761,M,303.6,312.3,1630,47.4,227,0,0,0,0,0,0
8430,L55609,L,299.0,310.3,1577,65.0,183,0,0,0,0,0,0
6952,L54131,L,300.8,311.3,1524,58.5,75,0,0,0,0,0,0
4404,L51583,L,297.3,303.1,1388,64.9,52,0,0,0,0,0,0
4098,L51277,L,301.9,310.4,1518,49.1,159,0,0,0,0,0,0
7485,M22344,M,300.3,311.6,1312,68.4,155,0,0,0,0,0,0
4950,M19809,M,303.8,312.7,1555,48.4,132,0,0,0,0,0,0
3264,L50443,L,301.3,310.0,1344,69.8,190,0,0,0,0,0,0
6303,L53482,L,301.2,310.6,1437,66.2,116,0,0,0,0,0,0
7917,L55096,L,300.8,312.1,1512,52.1,173,0,0,0,0,0,0
1748,L48927,L,298.4,307.9,2381,29.2,168,0,0,0,0,0,0
3887,L51066,L,302.4,311.3,1392,65.5,55,0,0,0,0,0,0
6249,L53428,L,300.8,310.1,1405,76.2,193,1,0,0,1,1,0
9371,H38784,H,297.7,308.4,1418,66.9,81,0,0,0,0,0,0
5265,L52444,L,303.4,312.8,1376,78.4,100,0,0,0,0,0,0
9418,H38831,H,298.1,308.4,1515,58.8,10,0,0,0,0,0,0
4848,L52027,L,303.4,311.9,1434,59.6,82,0,0,0,0,0,0
9896,L57075,L,293.8,302.4,1387,69.1,175,0,0,0,0,0,0
4838,H34251,H,303.3,311.8,1806,42.7,48,0,0,0,0,0,0
360,M15219,M,297.6,308.3,1567,49.6,75,0,0,0,0,0,0
8160,H37573,H,299.6,310.9,1679,61.2,128,0,0,0,0,0,0
6951,H36364,H,300.7,311.3,1374,78.1,68,0,0,0,0,0,0
4498,L51677,L,302.5,310.3,1523,51.0,76,0,0,0,0,0,0
